"PCTCD","DistLD","DistCD","Age.Group","gender","IND_ABSENTEE","CDE_PARTY","n"
"AP0009",7,1,"18-34","F","Y","OTH",4
"AP0009",7,1,"18-34","F","Y","REP",2
"AP0009",7,1,"18-34","M","N","OTH",2
"AP0009",7,1,"18-34","M","N","REP",3
"AP0009",7,1,"18-34","M","Y","OTH",1
"AP0009",7,1,"18-34","U","N","REP",1
"AP0009",7,1,"35-44","F","N","DEM",1
"AP0009",7,1,"35-44","F","N","REP",1
"AP0009",7,1,"35-44","F","Y","DEM",2
"AP0009",7,1,"35-44","F","Y","OTH",2
"AP0009",7,1,"35-44","F","Y","REP",3
"AP0009",7,1,"35-44","M","N","OTH",1
"AP0009",7,1,"35-44","M","N","REP",3
"AP0009",7,1,"35-44","M","Y","DEM",3
"AP0009",7,1,"35-44","M","Y","OTH",3
"AP0009",7,1,"35-44","M","Y","REP",1
"AP0009",7,1,"45-54","F","N","DEM",1
"AP0009",7,1,"45-54","F","N","OTH",3
"AP0009",7,1,"45-54","F","N","REP",2
"AP0009",7,1,"45-54","F","Y","DEM",5
"AP0009",7,1,"45-54","M","N","OTH",1
"AP0009",7,1,"45-54","M","N","REP",2
"AP0009",7,1,"45-54","M","Y","DEM",1
"AP0009",7,1,"45-54","U","Y","OTH",1
"AP0009",7,1,"55-64","F","N","DEM",1
"AP0009",7,1,"55-64","F","Y","OTH",3
"AP0009",7,1,"55-64","F","Y","REP",6
"AP0009",7,1,"55-64","M","N","DEM",2
"AP0009",7,1,"55-64","M","N","OTH",2
"AP0009",7,1,"55-64","M","Y","DEM",2
"AP0009",7,1,"55-64","M","Y","OTH",3
"AP0009",7,1,"55-64","M","Y","REP",4
"AP0009",7,1,"55-64","U","Y","DEM",2
"AP0009",7,1,"55-64","U","Y","OTH",2
"AP0009",7,1,"65-74","F","Y","DEM",4
"AP0009",7,1,"65-74","F","Y","OTH",2
"AP0009",7,1,"65-74","F","Y","REP",4
"AP0009",7,1,"65-74","M","N","OTH",2
"AP0009",7,1,"65-74","M","Y","DEM",3
"AP0009",7,1,"65-74","M","Y","OTH",1
"AP0009",7,1,"65-74","M","Y","REP",4
"AP0009",7,1,"65-74","U","N","OTH",1
"AP0009",7,1,"65-74","U","Y","DEM",2
"AP0009",7,1,"65-74","U","Y","REP",1
"AP0009",7,1,"75-84","F","N","DEM",2
"AP0009",7,1,"75-84","F","N","REP",1
"AP0009",7,1,"75-84","F","Y","DEM",4
"AP0009",7,1,"75-84","F","Y","OTH",1
"AP0009",7,1,"75-84","M","N","DEM",2
"AP0009",7,1,"75-84","M","Y","DEM",1
"AP0009",7,1,"75-84","M","Y","OTH",2
"AP0009",7,1,"75-84","M","Y","REP",1
"AP0009",7,1,"Over 85","F","N","DEM",1
"AP0009",7,1,"Over 85","F","Y","DEM",2
"AP0009",7,1,"Over 85","M","N","DEM",1
"AP0009",7,1,"Over 85","M","N","OTH",1
"AP0009",7,1,"Over 85","M","Y","DEM",1
"AP0009",7,1,"Over 85","M","Y","OTH",1
"AP0009",7,1,"Over 85","U","Y","DEM",1
"AP0010",7,1,"18-34","F","N","DEM",1
"AP0010",7,1,"18-34","F","N","OTH",1
"AP0010",7,1,"18-34","M","N","OTH",2
"AP0010",7,1,"18-34","M","N","REP",1
"AP0010",7,1,"18-34","M","Y","OTH",1
"AP0010",7,1,"18-34","U","N","DEM",1
"AP0010",7,1,"35-44","F","N","DEM",2
"AP0010",7,1,"35-44","F","Y","OTH",2
"AP0010",7,1,"35-44","U","Y","DEM",1
"AP0010",7,1,"45-54","F","N","DEM",2
"AP0010",7,1,"45-54","M","N","DEM",3
"AP0010",7,1,"45-54","M","N","REP",1
"AP0010",7,1,"55-64","F","N","REP",1
"AP0010",7,1,"55-64","M","N","DEM",2
"AP0010",7,1,"65-74","U","Y","DEM",1
"AP0010",7,1,"75-84","F","N","DEM",1
"AP0010",7,1,"75-84","U","Y","DEM",1
"AP0011",7,1,"18-34","F","N","DEM",2
"AP0011",7,1,"18-34","F","Y","OTH",3
"AP0011",7,1,"18-34","M","N","OTH",1
"AP0011",7,1,"18-34","M","Y","DEM",1
"AP0011",7,1,"18-34","M","Y","OTH",1
"AP0011",7,1,"18-34","U","Y","DEM",1
"AP0011",7,1,"35-44","F","Y","DEM",2
"AP0011",7,1,"35-44","M","N","DEM",1
"AP0011",7,1,"35-44","M","N","OTH",2
"AP0011",7,1,"45-54","F","N","OTH",1
"AP0011",7,1,"45-54","M","N","REP",1
"AP0011",7,1,"45-54","U","Y","REP",1
"AP0011",7,1,"55-64","F","N","DEM",1
"AP0011",7,1,"55-64","F","Y","DEM",1
"AP0011",7,1,"65-74","F","N","OTH",1
"AP0011",7,1,"65-74","F","Y","DEM",1
"AP0011",7,1,"75-84","F","N","DEM",1
"AP0012",7,1,"18-34","F","N","DEM",2
"AP0012",7,1,"18-34","F","N","OTH",1
"AP0012",7,1,"18-34","F","N","REP",2
"AP0012",7,1,"18-34","F","Y","OTH",2
"AP0012",7,1,"18-34","F","Y","REP",1
"AP0012",7,1,"18-34","M","N","DEM",4
"AP0012",7,1,"18-34","M","N","OTH",4
"AP0012",7,1,"18-34","M","N","REP",2
"AP0012",7,1,"18-34","M","Y","OTH",2
"AP0012",7,1,"18-34","M","Y","REP",2
"AP0012",7,1,"18-34","U","N","DEM",1
"AP0012",7,1,"18-34","U","N","OTH",1
"AP0012",7,1,"35-44","F","N","DEM",4
"AP0012",7,1,"35-44","F","N","REP",1
"AP0012",7,1,"35-44","F","Y","DEM",1
"AP0012",7,1,"35-44","M","N","DEM",1
"AP0012",7,1,"35-44","M","N","OTH",2
"AP0012",7,1,"35-44","M","Y","DEM",1
"AP0012",7,1,"35-44","M","Y","OTH",1
"AP0012",7,1,"45-54","F","N","DEM",3
"AP0012",7,1,"45-54","F","N","REP",2
"AP0012",7,1,"45-54","F","Y","OTH",1
"AP0012",7,1,"45-54","M","N","DEM",2
"AP0012",7,1,"45-54","M","N","OTH",1
"AP0012",7,1,"45-54","M","N","REP",1
"AP0012",7,1,"45-54","M","Y","REP",1
"AP0012",7,1,"55-64","F","N","DEM",1
"AP0012",7,1,"55-64","F","Y","DEM",1
"AP0012",7,1,"55-64","F","Y","OTH",1
"AP0012",7,1,"55-64","F","Y","REP",1
"AP0012",7,1,"55-64","M","N","DEM",1
"AP0012",7,1,"55-64","M","N","OTH",2
"AP0012",7,1,"55-64","M","Y","DEM",3
"AP0012",7,1,"55-64","M","Y","OTH",1
"AP0012",7,1,"55-64","U","N","DEM",2
"AP0012",7,1,"65-74","F","N","DEM",2
"AP0012",7,1,"65-74","F","N","OTH",1
"AP0012",7,1,"65-74","F","Y","DEM",1
